event_id,metric_name,actual_value,expected_value,prior_value,surprise_value,surprise_pct,unit,source,confidence
googl_earnings_2026_04_29,eps,5.11,2.63,,2.48,0.9430,usd_per_share,yfinance_earnings_dates,0.85
googl_earnings_2026_02_04,eps,2.82,2.64,,0.18,0.0678,usd_per_share,yfinance_earnings_dates,0.85
googl_earnings_2025_10_29,eps,2.87,2.26,,0.61,0.2688,usd_per_share,yfinance_earnings_dates,0.85
googl_earnings_2025_07_23,eps,2.31,2.19,,0.12,0.0567,usd_per_share,yfinance_earnings_dates,0.85
googl_earnings_2025_04_24,eps,2.81,2.01,,0.80,0.3984,usd_per_share,yfinance_earnings_dates,0.85
nvda_earnings_2026_02_25,eps,1.62,1.54,,0.08,0.0532,usd_per_share,yfinance_earnings_dates,0.85
nvda_earnings_2025_11_19,eps,1.30,1.26,,0.04,0.0346,usd_per_share,yfinance_earnings_dates,0.85
nvda_earnings_2025_08_27,eps,1.05,1.01,,0.04,0.0410,usd_per_share,yfinance_earnings_dates,0.85
nvda_earnings_2025_05_28,eps,0.76,0.81,,-0.05,-0.0590,usd_per_share,yfinance_earnings_dates,0.85
nvda_earnings_2025_02_26,eps,0.89,0.85,,0.04,0.0525,usd_per_share,yfinance_earnings_dates,0.85
amd_earnings_2026_05_05,eps,1.37,1.29,,0.08,0.0582,usd_per_share,yfinance_earnings_dates,0.85
amd_earnings_2026_02_03,eps,1.53,1.32,,0.21,0.1598,usd_per_share,yfinance_earnings_dates,0.85
amd_earnings_2025_11_04,eps,0.75,0.68,,0.07,0.1004,usd_per_share,yfinance_earnings_dates,0.85
amd_earnings_2025_08_05,eps,0.48,0.48,,0.00,-0.0055,usd_per_share,yfinance_earnings_dates,0.85
amd_earnings_2025_05_06,eps,0.96,0.93,,0.03,0.0283,usd_per_share,yfinance_earnings_dates,0.85
tsm_earnings_2026_04_15,eps,3.49,3.33,,0.16,0.0468,usd_per_share,yfinance_earnings_dates,0.85
tsm_earnings_2026_01_15,eps,3.14,2.98,,0.16,0.0553,usd_per_share,yfinance_earnings_dates,0.85
tsm_earnings_2025_10_15,eps,2.92,2.63,,0.29,0.1123,usd_per_share,yfinance_earnings_dates,0.85
tsm_earnings_2025_07_17,eps,2.47,2.31,,0.16,0.0679,usd_per_share,yfinance_earnings_dates,0.85
tsm_earnings_2025_04_17,eps,2.12,2.05,,0.07,0.0321,usd_per_share,yfinance_earnings_dates,0.85
tsmc_monthly_revenue_2026_04,monthly_revenue_yoy_pct,17.5,,45.2,-27.7,-0.6128,pct,tsmc_ir_monthly_revenue,0.90
tsmc_monthly_revenue_2026_03,monthly_revenue_yoy_pct,45.2,,22.2,23.0,1.0360,pct,tsmc_ir_monthly_revenue,0.90
tsmc_monthly_revenue_2026_02,monthly_revenue_yoy_pct,22.2,,36.8,-14.6,-0.3967,pct,tsmc_ir_monthly_revenue,0.90
tsmc_monthly_revenue_2026_01,monthly_revenue_yoy_pct,36.8,,20.4,16.4,0.8039,pct,tsmc_ir_monthly_revenue,0.90
tsmc_monthly_revenue_2025_12,monthly_revenue_yoy_pct,20.4,,24.5,-4.1,-0.1673,pct,tsmc_ir_monthly_revenue,0.90
