segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_eeb1286f8999,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Client,revenue,2885.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_d7d6d0563442,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Client and Gaming,cost_and_operating_expenses,3030.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_7a19638e03a4,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Client and Gaming,operating_income,575.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,False,True,revenue_minus_cost_and_operating_expenses,medium,Extracted from official SEC filing table.
segment_kpi_e22e57e7ba9d,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Client and Gaming,revenue,3605.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_58361840b4c9,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Data Center,cost_and_operating_expenses,4176.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_6940dc0358c0,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Data Center,operating_income,1599.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,False,True,revenue_minus_cost_and_operating_expenses,medium,Extracted from official SEC filing table.
segment_kpi_0ff1b01bec44,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Data Center,revenue,5775.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_847dec3d9972,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Embedded,cost_and_operating_expenses,535.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_f7094eb526d0,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Embedded,operating_income,338.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,False,True,revenue_minus_cost_and_operating_expenses,medium,Extracted from official SEC filing table.
segment_kpi_ada2c69b6caf,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Embedded,revenue,873.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_4d2614ca931a,2026-03-28,2026,Q1,quarter,AMD,reportable_segment,Gaming,revenue,720.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/0000002488-26-000076-index.html,0000002488-26-000076,2026-05-06,True,False,,high,Extracted from official SEC filing table.
segment_kpi_e03bba937e70,2025-12-27,2025,Q4,year,AMD,reportable_segment,Client,revenue,10640.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,True,False,,high,Extracted from official SEC filing table.
segment_kpi_0b6b4b0ebc50,2025-12-27,2025,Q4,year,AMD,reportable_segment,Client and Gaming,cost_and_operating_expenses,11695.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,True,False,,high,Extracted from official SEC filing table.
segment_kpi_669c7c532a2e,2025-12-27,2025,Q4,year,AMD,reportable_segment,Client and Gaming,operating_income,2855.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,False,True,revenue_minus_cost_and_operating_expenses,medium,Extracted from official SEC filing table.
segment_kpi_91b0c9346e53,2025-12-27,2025,Q4,year,AMD,reportable_segment,Client and Gaming,revenue,14550.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,True,False,,high,Extracted from official SEC filing table.
segment_kpi_a87880f25ae6,2025-12-27,2025,Q4,year,AMD,reportable_segment,Data Center,cost_and_operating_expenses,13032.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,True,False,,high,Extracted from official SEC filing table.
segment_kpi_45f35bbeeaed,2025-12-27,2025,Q4,year,AMD,reportable_segment,Data Center,operating_income,3603.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,False,True,revenue_minus_cost_and_operating_expenses,medium,Extracted from official SEC filing table.
segment_kpi_f2e05f3ec308,2025-12-27,2025,Q4,year,AMD,reportable_segment,Data Center,revenue,16635.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,True,False,,high,Extracted from official SEC filing table.
segment_kpi_11aed581537c,2025-12-27,2025,Q4,year,AMD,reportable_segment,Embedded,cost_and_operating_expenses,2211.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.html,0000002488-26-000018,2026-02-04,True,False,,high,Extracted from official SEC filing table.
