segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_f4c8270ce157,2026-03-31,2026,Q1,quarter,GOOGL,segment,Google Cloud,operating_income,6598.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_f6c45f9cf9a2,2026-03-31,2026,Q1,quarter,GOOGL,segment,Google Cloud,revenue,20028.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_3f9a12c099d6,2026-03-31,2026,Q1,quarter,GOOGL,segment,Google Network,revenue,6971.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_32403bea88ea,2026-03-31,2026,Q1,quarter,GOOGL,segment,Google Search & other,revenue,60399.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_3e2bb36cfdd8,2026-03-31,2026,Q1,quarter,GOOGL,segment,Google Services,operating_income,40589.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_7f2ddaf18dc7,2026-03-31,2026,Q1,quarter,GOOGL,segment,Google Services,revenue,89637.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_3f6fdf49fc15,2026-03-31,2026,Q1,quarter,GOOGL,segment,Google subscriptions platforms and devices,revenue,12384.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_3da12040f0a7,2026-03-31,2026,Q1,quarter,GOOGL,segment,Other Bets,operating_income,-2100.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_0072a2bdca2e,2026-03-31,2026,Q1,quarter,GOOGL,segment,Other Bets,revenue,411.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_8ef7bfc9eab8,2026-03-31,2026,Q1,quarter,GOOGL,segment,YouTube ads,revenue,9883.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/0001652044-26-000048-index.html,0001652044-26-000048,2026-04-30,True,False,,high,Extracted from official SEC filing table.
