segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_98277b16adf8,2026-01-25,2026,Q1,year,NVDA,end_market,Automotive,revenue,2349.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.html,0001045810-26-000021,2026-02-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2cefc80b24ba,2026-01-25,2026,Q1,year,NVDA,product_category,Compute & Networking,revenue,193479.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.html,0001045810-26-000021,2026-02-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_ea142f22833e,2026-01-25,2026,Q1,year,NVDA,end_market,Data Center,revenue,193737.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.html,0001045810-26-000021,2026-02-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_d1430756dbe5,2026-01-25,2026,Q1,year,NVDA,end_market,Gaming,revenue,16042.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.html,0001045810-26-000021,2026-02-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_768341a26440,2026-01-25,2026,Q1,year,NVDA,product_category,Graphics,revenue,22459.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.html,0001045810-26-000021,2026-02-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_dabaf4ccd75b,2026-01-25,2026,Q1,year,NVDA,end_market,OEM and Other,revenue,619.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.html,0001045810-26-000021,2026-02-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_afe891634f70,2026-01-25,2026,Q1,year,NVDA,end_market,Professional Visualization,revenue,3191.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.html,0001045810-26-000021,2026-02-25,True,False,,high,Extracted from official SEC filing table.
segment_kpi_1b52d534be8c,2025-10-26,2025,Q4,quarter,NVDA,end_market,Automotive,revenue,592.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/0001045810-25-000230-index.html,0001045810-25-000230,2025-11-19,True,False,,high,Extracted from official SEC filing table.
segment_kpi_ba891d0a21df,2025-10-26,2025,Q4,quarter,NVDA,product_category,Compute & Networking,revenue,50908.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/0001045810-25-000230-index.html,0001045810-25-000230,2025-11-19,True,False,,high,Extracted from official SEC filing table.
segment_kpi_162bf94babc3,2025-10-26,2025,Q4,quarter,NVDA,end_market,Data Center,revenue,51215.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/0001045810-25-000230-index.html,0001045810-25-000230,2025-11-19,True,False,,high,Extracted from official SEC filing table.
segment_kpi_5292ded71f85,2025-10-26,2025,Q4,quarter,NVDA,end_market,Gaming,revenue,4265.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/0001045810-25-000230-index.html,0001045810-25-000230,2025-11-19,True,False,,high,Extracted from official SEC filing table.
segment_kpi_bb5569d6c39d,2025-10-26,2025,Q4,quarter,NVDA,product_category,Graphics,revenue,6098.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/0001045810-25-000230-index.html,0001045810-25-000230,2025-11-19,True,False,,high,Extracted from official SEC filing table.
segment_kpi_e357a408b8c8,2025-10-26,2025,Q4,quarter,NVDA,end_market,OEM and Other,revenue,174.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/0001045810-25-000230-index.html,0001045810-25-000230,2025-11-19,True,False,,high,Extracted from official SEC filing table.
segment_kpi_afd50a5d058a,2025-10-26,2025,Q4,quarter,NVDA,end_market,Professional Visualization,revenue,760.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/0001045810-25-000230-index.html,0001045810-25-000230,2025-11-19,True,False,,high,Extracted from official SEC filing table.
segment_kpi_d5d902410b89,2025-07-27,2025,Q3,quarter,NVDA,end_market,Automotive,revenue,586.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209-index.html,0001045810-25-000209,2025-08-27,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2ea495c81eec,2025-07-27,2025,Q3,quarter,NVDA,product_category,Compute & Networking,revenue,41331.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209-index.html,0001045810-25-000209,2025-08-27,True,False,,high,Extracted from official SEC filing table.
segment_kpi_0590f367608f,2025-07-27,2025,Q3,quarter,NVDA,end_market,Data Center,revenue,41096.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209-index.html,0001045810-25-000209,2025-08-27,True,False,,high,Extracted from official SEC filing table.
segment_kpi_a020d535aa3e,2025-07-27,2025,Q3,quarter,NVDA,end_market,Gaming,revenue,4287.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209-index.html,0001045810-25-000209,2025-08-27,True,False,,high,Extracted from official SEC filing table.
segment_kpi_f323f3fe29be,2025-07-27,2025,Q3,quarter,NVDA,product_category,Graphics,revenue,5412.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209-index.html,0001045810-25-000209,2025-08-27,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b11ff425ca61,2025-07-27,2025,Q3,quarter,NVDA,end_market,OEM and Other,revenue,173.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209-index.html,0001045810-25-000209,2025-08-27,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b49f70f79203,2025-07-27,2025,Q3,quarter,NVDA,end_market,Professional Visualization,revenue,601.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209-index.html,0001045810-25-000209,2025-08-27,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b918a09ceadc,2025-04-27,2025,Q2,quarter,NVDA,end_market,Automotive,revenue,567.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116-index.html,0001045810-25-000116,2025-05-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_18bfdf959ae4,2025-04-27,2025,Q2,quarter,NVDA,product_category,Compute & Networking,revenue,39589.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116-index.html,0001045810-25-000116,2025-05-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_dc537c7d2843,2025-04-27,2025,Q2,quarter,NVDA,end_market,Data Center,revenue,39112.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116-index.html,0001045810-25-000116,2025-05-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_4163c70e069e,2025-04-27,2025,Q2,quarter,NVDA,end_market,Gaming,revenue,3763.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116-index.html,0001045810-25-000116,2025-05-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_8cf45785a48f,2025-04-27,2025,Q2,quarter,NVDA,product_category,Graphics,revenue,4473.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116-index.html,0001045810-25-000116,2025-05-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_03bfa311f7dc,2025-04-27,2025,Q2,quarter,NVDA,end_market,OEM and Other,revenue,111.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116-index.html,0001045810-25-000116,2025-05-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b4bc195c08a2,2025-04-27,2025,Q2,quarter,NVDA,end_market,Professional Visualization,revenue,509.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116-index.html,0001045810-25-000116,2025-05-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_4900e5080941,2025-01-26,2025,Q1,year,NVDA,end_market,Automotive,revenue,1694.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.html,0001045810-25-000023,2025-02-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_e38e6c3451c1,2025-01-26,2025,Q1,year,NVDA,product_category,Compute & Networking,revenue,116193.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.html,0001045810-25-000023,2025-02-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_4d26883ded89,2025-01-26,2025,Q1,year,NVDA,end_market,Data Center,revenue,115186.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.html,0001045810-25-000023,2025-02-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_13c42de45f7d,2025-01-26,2025,Q1,year,NVDA,end_market,Gaming,revenue,11350.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.html,0001045810-25-000023,2025-02-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_902242ba9bcd,2025-01-26,2025,Q1,year,NVDA,product_category,Graphics,revenue,14304.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.html,0001045810-25-000023,2025-02-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_9c7cf63942c7,2025-01-26,2025,Q1,year,NVDA,end_market,OEM and Other,revenue,389.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.html,0001045810-25-000023,2025-02-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2d3261d6bed5,2025-01-26,2025,Q1,year,NVDA,end_market,Professional Visualization,revenue,1878.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.html,0001045810-25-000023,2025-02-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_14587a93fd3b,2024-10-27,2024,Q4,quarter,NVDA,end_market,Automotive,revenue,449.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.html,0001045810-24-000316,2024-11-20,True,False,,high,Extracted from official SEC filing table.
segment_kpi_c3e15fa5d252,2024-10-27,2024,Q4,quarter,NVDA,product_category,Compute & Networking,revenue,31036.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.html,0001045810-24-000316,2024-11-20,True,False,,high,Extracted from official SEC filing table.
segment_kpi_fe2c580b865c,2024-10-27,2024,Q4,quarter,NVDA,end_market,Data Center,revenue,30771.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.html,0001045810-24-000316,2024-11-20,True,False,,high,Extracted from official SEC filing table.
segment_kpi_30b9f52df27f,2024-10-27,2024,Q4,quarter,NVDA,end_market,Gaming,revenue,3279.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.html,0001045810-24-000316,2024-11-20,True,False,,high,Extracted from official SEC filing table.
segment_kpi_5cf7bdf5ee46,2024-10-27,2024,Q4,quarter,NVDA,product_category,Graphics,revenue,4046.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.html,0001045810-24-000316,2024-11-20,True,False,,high,Extracted from official SEC filing table.
segment_kpi_4ed64abe4098,2024-10-27,2024,Q4,quarter,NVDA,end_market,OEM and Other,revenue,97.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.html,0001045810-24-000316,2024-11-20,True,False,,high,Extracted from official SEC filing table.
segment_kpi_e78270028764,2024-10-27,2024,Q4,quarter,NVDA,end_market,Professional Visualization,revenue,486.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316-index.html,0001045810-24-000316,2024-11-20,True,False,,high,Extracted from official SEC filing table.
segment_kpi_944bc5bf7a2e,2024-07-28,2024,Q3,quarter,NVDA,end_market,Automotive,revenue,346.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.html,0001045810-24-000264,2024-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_0f9478fe2b7e,2024-07-28,2024,Q3,quarter,NVDA,product_category,Compute & Networking,revenue,26446.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.html,0001045810-24-000264,2024-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_9eb1d324ef12,2024-07-28,2024,Q3,quarter,NVDA,end_market,Data Center,revenue,26272.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.html,0001045810-24-000264,2024-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_8a7ad65e3fcd,2024-07-28,2024,Q3,quarter,NVDA,end_market,Gaming,revenue,2880.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.html,0001045810-24-000264,2024-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_bed4b62167b6,2024-07-28,2024,Q3,quarter,NVDA,product_category,Graphics,revenue,3594.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.html,0001045810-24-000264,2024-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_ff506bb931d5,2024-07-28,2024,Q3,quarter,NVDA,end_market,OEM and Other,revenue,88.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.html,0001045810-24-000264,2024-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_ab1a1edbe4fc,2024-07-28,2024,Q3,quarter,NVDA,end_market,Professional Visualization,revenue,454.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264-index.html,0001045810-24-000264,2024-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2fb95a389edb,2024-04-28,2024,Q2,quarter,NVDA,end_market,Automotive,revenue,329.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.html,0001045810-24-000124,2024-05-29,True,False,,high,Extracted from official SEC filing table.
segment_kpi_42960dbefb52,2024-04-28,2024,Q2,quarter,NVDA,product_category,Compute & Networking,revenue,22675.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.html,0001045810-24-000124,2024-05-29,True,False,,high,Extracted from official SEC filing table.
segment_kpi_267b3ae29915,2024-04-28,2024,Q2,quarter,NVDA,end_market,Data Center,revenue,22563.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.html,0001045810-24-000124,2024-05-29,True,False,,high,Extracted from official SEC filing table.
segment_kpi_62ef99839368,2024-04-28,2024,Q2,quarter,NVDA,end_market,Gaming,revenue,2647.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.html,0001045810-24-000124,2024-05-29,True,False,,high,Extracted from official SEC filing table.
segment_kpi_844c28cf931a,2024-04-28,2024,Q2,quarter,NVDA,product_category,Graphics,revenue,3369.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.html,0001045810-24-000124,2024-05-29,True,False,,high,Extracted from official SEC filing table.
segment_kpi_f65a0fe8a3e5,2024-04-28,2024,Q2,quarter,NVDA,end_market,OEM and Other,revenue,78.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.html,0001045810-24-000124,2024-05-29,True,False,,high,Extracted from official SEC filing table.
segment_kpi_c024717d4530,2024-04-28,2024,Q2,quarter,NVDA,end_market,Professional Visualization,revenue,427.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124-index.html,0001045810-24-000124,2024-05-29,True,False,,high,Extracted from official SEC filing table.
segment_kpi_aab7b1a81446,2024-01-28,2024,Q1,year,NVDA,end_market,Automotive,revenue,1091.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.html,0001045810-24-000029,2024-02-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_950efbda78c7,2024-01-28,2024,Q1,year,NVDA,product_category,Compute & Networking,revenue,47405.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.html,0001045810-24-000029,2024-02-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_9e6bd591cf81,2024-01-28,2024,Q1,year,NVDA,end_market,Data Center,revenue,47525.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.html,0001045810-24-000029,2024-02-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_07ec6ec4e808,2024-01-28,2024,Q1,year,NVDA,end_market,Gaming,revenue,10447.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.html,0001045810-24-000029,2024-02-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_df97dde32237,2024-01-28,2024,Q1,year,NVDA,product_category,Graphics,revenue,13517.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.html,0001045810-24-000029,2024-02-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_26a5fa27b7a1,2024-01-28,2024,Q1,year,NVDA,end_market,OEM and Other,revenue,306.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.html,0001045810-24-000029,2024-02-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_7e99fe695c12,2024-01-28,2024,Q1,year,NVDA,end_market,Professional Visualization,revenue,1553.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.html,0001045810-24-000029,2024-02-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_0f66f0dcb1ca,2023-10-29,2023,Q4,quarter,NVDA,end_market,Automotive,revenue,261.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.html,0001045810-23-000227,2023-11-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_d4ede478d8fa,2023-10-29,2023,Q4,quarter,NVDA,product_category,Compute & Networking,revenue,14645.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.html,0001045810-23-000227,2023-11-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_3005a3b1fff0,2023-10-29,2023,Q4,quarter,NVDA,end_market,Data Center,revenue,14514.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.html,0001045810-23-000227,2023-11-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_102a69e6562a,2023-10-29,2023,Q4,quarter,NVDA,end_market,Gaming,revenue,2856.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.html,0001045810-23-000227,2023-11-21,True,False,,high,Extracted from official SEC filing table.
