segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_23a1d4ec2a0a,2026-04-01,2026,Q2,month,TSM,monthly,total,monthly_revenue_mom,,percent,,monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2026,,,True,False,,high,Official TSMC monthly revenue bridge.
segment_kpi_6cc12da9a4da,2026-04-01,2026,Q2,month,TSM,monthly,total,monthly_revenue_twd,410726.0,TWD_mn,TWD,monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2026,,,True,False,,high,Official TSMC monthly revenue bridge.
segment_kpi_9465d636d099,2026-04-01,2026,Q2,month,TSM,monthly,total,monthly_revenue_yoy,17.5,percent,,monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2026,,,True,False,,high,Official TSMC monthly revenue bridge.
segment_kpi_54b9e2758e8e,2026-03-31,2026,Q1,quarter,TSM,technology,3nm,revenue_share,0.25,ratio,,management_report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/5508a9df8981f587c73dbfaf9f577f142e22bbb1/1Q26ManagementReport.pdf,,2026-04-16,True,False,,high,TSMC 1Q26 management report wafer revenue by technology.
segment_kpi_1a5e72e37a7f,2026-03-31,2026,Q1,quarter,TSM,technology,5nm,revenue_share,0.36,ratio,,management_report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/5508a9df8981f587c73dbfaf9f577f142e22bbb1/1Q26ManagementReport.pdf,,2026-04-16,True,False,,high,TSMC 1Q26 management report wafer revenue by technology.
segment_kpi_00c896280492,2026-03-31,2026,Q1,quarter,TSM,technology,7nm,revenue_share,0.13,ratio,,management_report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/5508a9df8981f587c73dbfaf9f577f142e22bbb1/1Q26ManagementReport.pdf,,2026-04-16,True,False,,high,TSMC 1Q26 management report wafer revenue by technology.
segment_kpi_51dced34a2c7,2026-03-31,2026,Q1,quarter,TSM,platform,Automotive,revenue_share,0.04,ratio,,management_report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/5508a9df8981f587c73dbfaf9f577f142e22bbb1/1Q26ManagementReport.pdf,,2026-04-16,True,False,,high,TSMC 1Q26 management report revenue by platform.
segment_kpi_7606cfc138b1,2026-03-31,2026,Q1,quarter,TSM,platform,High Performance Computing,revenue_share,0.61,ratio,,management_report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/5508a9df8981f587c73dbfaf9f577f142e22bbb1/1Q26ManagementReport.pdf,,2026-04-16,True,False,,high,TSMC 1Q26 management report revenue by platform.
segment_kpi_2bb651ac9384,2026-03-31,2026,Q1,quarter,TSM,platform,Internet of Things,revenue_share,0.06,ratio,,management_report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/5508a9df8981f587c73dbfaf9f577f142e22bbb1/1Q26ManagementReport.pdf,,2026-04-16,True,False,,high,TSMC 1Q26 management report revenue by platform.
segment_kpi_8006a1c4e0b0,2026-03-31,2026,Q1,quarter,TSM,platform,Smartphone,revenue_share,0.26,ratio,,management_report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/5508a9df8981f587c73dbfaf9f577f142e22bbb1/1Q26ManagementReport.pdf,,2026-04-16,True,False,,high,TSMC 1Q26 management report revenue by platform.
